epoch,train_loss,val_loss,miou,mpa,dice,recall,precision,fg_iou,bg_iou,fpr,fnr
154,0.3504,0.3509,0.6569,0.8102,0.6877,0.7738,0.6237,0.5266,0.7872,0.1534,0.2262
155,0.3335,0.3477,0.6535,0.8160,0.6891,0.8009,0.6093,0.5280,0.7791,0.1689,0.1991
156,0.3430,0.3482,0.6496,0.8188,0.6883,0.8184,0.5983,0.5270,0.7722,0.1807,0.1816
157,0.3405,0.3438,0.6641,0.8151,0.6951,0.7779,0.6340,0.5348,0.7934,0.1477,0.2221
158,0.3268,0.3464,0.6685,0.8114,0.6959,0.7564,0.6509,0.5358,0.8013,0.1335,0.2436
159,0.3325,0.3400,0.6689,0.8144,0.6980,0.7673,0.6456,0.5382,0.7996,0.1384,0.2327
160,0.3154,0.3356,0.6644,0.8228,0.7000,0.8059,0.6230,0.5404,0.7884,0.1603,0.1941
161,0.3329,0.3442,0.6760,0.8072,0.6986,0.7282,0.6774,0.5392,0.8127,0.1138,0.2718
162,0.3295,0.3387,0.6711,0.8177,0.7015,0.7749,0.6461,0.5421,0.8001,0.1395,0.2251
163,0.3254,0.3325,0.6731,0.8227,0.7053,0.7902,0.6420,0.5472,0.7990,0.1447,0.2098
164,0.3094,0.3319,0.6764,0.8224,0.7074,0.7834,0.6501,0.5497,0.8032,0.1385,0.2166
165,0.3245,0.3286,0.6752,0.8249,0.7080,0.7948,0.6430,0.5502,0.8001,0.1449,0.2052
166,0.3138,0.3321,0.6788,0.8203,0.7078,0.7717,0.6591,0.5503,0.8074,0.1311,0.2283
167,0.3103,0.3250,0.6758,0.8262,0.7092,0.7982,0.6426,0.5515,0.8001,0.1458,0.2018
168,0.3078,0.3243,0.6808,0.8269,0.7128,0.7921,0.6528,0.5561,0.8056,0.1383,0.2079
169,0.2995,0.3299,0.6882,0.8214,0.7149,0.7589,0.6820,0.5586,0.8178,0.1161,0.2411
170,0.2963,0.3231,0.6898,0.8272,0.7192,0.7778,0.6742,0.5639,0.8158,0.1235,0.2222
171,0.3053,0.3175,0.6864,0.8319,0.7191,0.8012,0.6570,0.5640,0.8089,0.1374,0.1988
172,0.3081,0.3234,0.6912,0.8248,0.7186,0.7669,0.6819,0.5636,0.8189,0.1174,0.2331
173,0.2982,0.3214,0.6929,0.8253,0.7199,0.7663,0.6846,0.5653,0.8205,0.1156,0.2337
174,0.2926,0.3147,0.6863,0.8358,0.7210,0.8152,0.6509,0.5660,0.8065,0.1436,0.1848
175,0.3017,0.3140,0.6922,0.8345,0.7243,0.8006,0.6662,0.5702,0.8141,0.1317,0.1994
176,0.2925,0.3235,0.6962,0.8258,0.7227,0.7619,0.6932,0.5685,0.8240,0.1104,0.2381
177,0.2886,0.3129,0.6865,0.8394,0.7230,0.8276,0.6457,0.5684,0.8045,0.1488,0.1724
178,0.2884,0.3152,0.6968,0.8319,0.7263,0.7839,0.6812,0.5729,0.8208,0.1200,0.2161
179,0.2804,0.3186,0.7001,0.8276,0.7265,0.7624,0.6993,0.5730,0.8272,0.1073,0.2376
